1	1:-45	2:-47	3:-54	4:-67	5:-66	6:-69	7:-82	8:-77
1	1:-45	2:-49	3:-55	4:-65	5:-66	6:-69	7:-83	8:-77
1	1:-45	2:-53	3:-56	4:-65	5:-67	6:-72	7:-83	8:-76
3	1:-63	2:-38	3:-53	4:-52	5:-70	6:-71	7:0	8:-71
2	1:-51	2:-57	3:-60	4:-75	5:-89	6:-79	7:-90	8:-82
1	1:-45	2:-52	3:-54	4:-65	5:-66	6:-69	7:-83	8:-76
3	1:-52	2:-47	3:-64	4:-57	5:-57	6:-70	7:-72	8:-73
2	1:-51	2:-56	3:-62	4:-74	5:-87	6:-78	7:-88	8:-82
3	1:-54	2:-49	3:-60	4:-56	5:-65	6:-73	7:-73	8:-74
2	1:-53	2:-52	3:-60	4:-64	5:-66	6:-73	7:-77	8:-79
3	1:-59	2:-47	3:-59	4:-48	5:-65	6:-83	7:-73	8:-81
1	1:-45	2:-49	3:-54	4:-65	5:-66	6:-71	7:0	8:-74
3	1:-57	2:-42	3:-46	4:-46	5:-54	6:-73	7:-77	8:-77
3	1:-54	2:-49	3:-60	4:-55	5:-64	6:-73	7:-73	8:-74
1	1:-45	2:-47	3:-54	4:-62	5:-65	6:-69	7:-74	8:-77
3	1:-84	2:-46	3:-55	4:-59	5:-72	6:-86	7:-77	8:-81
2	1:-50	2:-49	3:-64	4:-73	5:-78	6:-79	7:-86	8:-84
3	1:-52	2:-47	3:-61	4:-60	5:-56	6:-69	7:-72	8:-73
3	1:-53	2:-51	3:-61	4:-56	5:-65	6:-74	7:-73	8:-75
1	1:-45	2:-47	3:-49	4:-64	5:-67	6:-73	7:-75	8:-73
1	1:-45	2:-51	3:-54	4:-65	5:-66	6:-68	7:-83	8:-75
1	1:-45	2:-53	3:-58	4:-63	5:-67	6:-71	7:-83	8:-80
1	1:-45	2:-47	3:-49	4:-64	5:-66	6:-72	7:-75	8:-73
2	1:-54	2:-52	3:-62	4:-74	5:-81	6:-79	7:-93	8:-82
3	1:-52	2:-49	3:-65	4:-61	5:-53	6:-71	7:-71	8:-73
1	1:-45	2:-47	3:-48	4:-64	5:-66	6:-72	7:-75	8:-73
1	1:-45	2:-49	3:-53	4:-65	5:-66	6:-70	7:-83	8:-74
1	1:-45	2:-51	3:-54	4:-65	5:-66	6:-69	7:-83	8:-75
2	1:-49	2:-51	3:-62	4:-67	5:-72	6:-73	7:-81	8:-79
3	1:-52	2:-53	3:-60	4:-56	5:-66	6:-74	7:-73	8:-76
2	1:-46	2:-47	3:-47	4:-67	5:-71	6:-71	7:-83	8:-77
3	1:-51	2:-50	3:-56	4:-60	5:-67	6:-72	7:-74	8:-74
1	1:-45	2:-47	3:-51	4:-63	5:-67	6:-72	7:-74	8:-77
2	1:-48	2:-54	3:-65	4:-67	5:-72	6:-72	7:-79	8:-77
1	1:-45	2:-47	3:-55	4:-62	5:-61	6:-70	7:-74	8:-76
1	1:-45	2:-48	3:-55	4:-63	5:-69	6:-71	7:-83	8:-80
2	1:-51	2:-49	3:-62	4:-66	5:-78	6:-77	7:-89	8:-87
2	1:-49	2:-50	3:-62	4:-68	5:-72	6:-73	7:-80	8:-79
1	1:-45	2:-50	3:-56	4:-65	5:-67	6:-69	7:-83	8:-75
1	1:-45	2:-48	3:-58	4:-62	5:-67	6:-70	7:-83	8:-80
3	1:-53	2:-51	3:-60	4:-55	5:-65	6:-74	7:-73	8:-76
2	1:-46	2:-57	3:-47	4:-67	5:-70	6:-71	7:-82	8:-77
1	1:-45	2:-47	3:-54	4:-65	5:-66	6:-68	7:-82	8:-75
1	1:-46	2:-47	3:-56	4:-62	5:-69	6:-69	7:-81	8:-78
1	1:-45	2:-47	3:-54	4:-65	5:-66	6:-68	7:-82	8:-75
3	1:-57	2:-41	3:-47	4:-46	5:-61	6:-73	7:-72	8:-77
3	1:-45	2:-47	3:-53	4:-58	5:-62	6:-67	7:-69	8:-72
2	1:-46	2:-47	3:-61	4:-62	5:-66	6:-73	7:-78	8:-81
3	1:-53	2:-51	3:-61	4:-57	5:-65	6:-74	7:-73	8:-74
1	1:-45	2:-49	3:-55	4:-64	5:-66	6:-69	7:-83	8:-77
3	1:-48	2:-48	3:-52	4:-51	5:-54	6:-68	7:-72	8:-72
3	1:-47	2:-47	3:-50	4:-53	5:-60	6:-66	7:-71	8:-72
3	1:-50	2:-47	3:-59	4:-58	5:-55	6:-71	7:-72	8:-73
1	1:-45	2:-47	3:-57	4:-65	5:-66	6:-69	7:-83	8:-74
1	1:-45	2:-47	3:-59	4:-63	5:-67	6:-71	7:-83	8:-82
3	1:-55	2:-52	3:-60	4:-57	5:-64	6:-73	7:-73	8:-75
3	1:-48	2:-47	3:-47	4:-54	5:-55	6:-68	7:-71	8:-72
3	1:-53	2:-51	3:-60	4:-55	5:-65	6:-74	7:-73	8:-75
3	1:-55	2:-47	3:-59	4:-48	5:-62	6:-80	7:-79	8:-82
3	1:-49	2:-47	3:-51	4:-53	5:-60	6:-66	7:-71	8:-71
3	1:-49	2:-47	3:-57	4:-58	5:-55	6:-68	7:-72	8:-73
2	1:-50	2:-46	3:-60	4:-70	5:-77	6:-78	7:-89	8:-86
3	1:-51	2:-41	3:-46	4:-45	5:-61	6:-72	7:-71	8:-77
2	1:-51	2:-49	3:-62	4:-67	5:-72	6:-73	7:-80	8:-79
3	1:-53	2:-50	3:-59	4:-58	5:-65	6:-74	7:-73	8:-76
3	1:-55	2:-52	3:-60	4:-57	5:-64	6:-73	7:-73	8:-75
3	1:-48	2:-47	3:-50	4:-51	5:-54	6:-68	7:-72	8:-72
3	1:-51	2:-47	3:-60	4:-60	5:-56	6:-70	7:-72	8:-73
1	1:-45	2:-49	3:-55	4:-64	5:-66	6:-69	7:-83	8:-78
3	1:-52	2:-47	3:-54	4:-63	5:-68	6:-72	7:-76	8:-74
3	1:-50	2:-50	3:-47	4:-51	5:-53	6:-69	7:-72	8:-72
1	1:-45	2:-48	3:-56	4:-62	5:-66	6:-70	7:-83	8:-79
3	1:-47	2:-47	3:-51	4:-57	5:-63	6:-64	7:-68	8:-73
3	1:-54	2:-49	3:-56	4:-60	5:-63	6:-71	7:-75	8:-75
1	1:-45	2:-47	3:-56	4:-65	5:-66	6:-68	7:-82	8:-75
