2	1:-54	2:-54	3:-55	4:-67	5:-76	6:-86	7:-79	8:0
3	1:-47	2:-40	3:-55	4:-69	5:-63	6:-73	7:-73	8:-85
3	1:-48	2:-48	3:-50	4:-51	5:-68	6:-80	7:-81	8:-89
3	1:-44	2:-47	3:-53	4:-47	5:-56	6:-66	7:-81	8:-85
2	1:-53	2:-57	3:-59	4:-65	5:-82	6:-77	7:-82	8:-91
2	1:-48	2:-56	3:-55	4:-63	5:-75	6:-81	7:-79	8:0
3	1:-54	2:-46	3:-55	4:-67	5:-70	6:-80	7:-77	8:-89
1	1:-47	2:-38	3:-53	4:-62	5:-75	6:-77	7:-78	8:0
3	1:-57	2:-60	3:-63	4:-68	5:-81	6:-82	7:-83	8:-88
3	1:-41	2:-34	3:-49	4:-50	5:-64	6:-75	7:-80	8:-84
3	1:-48	2:-49	3:-53	4:-70	5:-73	6:-84	7:-84	8:-90
1	1:-47	2:-40	3:-54	4:-67	5:-77	6:-77	7:-82	8:0
3	1:-46	2:-45	3:-47	4:-47	5:-65	6:-76	7:-84	8:-84
3	1:-34	2:-31	3:-52	4:-55	5:-62	6:-76	7:-74	8:-85
2	1:-54	2:-58	3:-59	4:-67	5:-82	6:-81	7:-79	8:0
3	1:-42	2:-32	3:-50	4:-58	5:-91	6:-68	7:-70	8:-79
3	1:-47	2:-49	3:-49	4:-49	5:-66	6:-80	7:-80	8:-87
2	1:-57	2:-48	3:-58	4:-79	5:-79	6:-83	7:-82	8:0
3	1:-44	2:-27	3:-44	4:-52	5:-64	6:-70	7:-67	8:-79
2	1:-52	2:-56	3:-58	4:-74	5:-83	6:-80	7:-79	8:0
3	1:-49	2:-45	3:-64	4:-53	5:-71	6:-82	7:-83	8:-89
3	1:-45	2:-45	3:-56	4:-56	5:-58	6:-76	7:-74	8:-85
3	1:-46	2:-49	3:-48	4:-49	5:-64	6:-81	7:-79	8:-87
3	1:-46	2:-46	3:-50	4:-50	5:-66	6:-79	7:-81	8:-84
3	1:-36	2:-80	3:-47	4:-55	5:-66	6:-64	7:-77	8:-85
3	1:-51	2:-46	3:-52	4:-56	5:-73	6:-82	7:-86	8:-88
2	1:-53	2:-53	3:-56	4:-63	5:-74	6:-83	7:-77	8:0
3	1:-44	2:-41	3:-57	4:-53	5:-70	6:-76	7:-75	8:-85
3	1:-51	2:-44	3:-61	4:-54	5:-68	6:-81	7:-86	8:-89
2	1:-52	2:-51	3:-56	4:-69	5:-77	6:-81	7:-77	8:0
3	1:-51	2:-43	3:-52	4:-57	5:-68	6:-75	7:-80	8:-84
3	1:-28	2:-39	3:-47	4:-65	5:-70	6:-69	7:-70	8:-85
3	1:-50	2:-49	3:-52	4:-49	5:-65	6:-79	7:-80	8:-87
3	1:-54	2:-49	3:-65	4:-58	5:-74	6:-84	7:-83	8:-86
3	1:-39	2:-48	3:-45	4:-53	5:-60	6:-76	7:-74	8:-85
2	1:-60	2:-55	3:-58	4:-72	5:-82	6:-89	7:-89	8:0
3	1:-53	2:-43	3:-55	4:-52	5:-71	6:-80	7:-84	8:-84
2	1:-50	2:-54	3:-54	4:-67	5:-73	6:-89	7:-80	8:0
3	1:-54	2:-59	3:-63	4:-63	5:-83	6:-82	7:-83	8:-88
3	1:-46	2:-48	3:-49	4:-50	5:-66	6:-79	7:-79	8:-84
2	1:-50	2:-76	3:-55	4:-64	5:-72	6:-77	7:-76	8:0
3	1:-45	2:-46	3:-51	4:-50	5:-66	6:-83	7:-84	8:-89
3	1:-44	2:-45	3:-54	4:-56	5:-64	6:-76	7:-75	8:-85
2	1:-58	2:-53	3:-60	4:-70	5:-76	6:-89	7:-88	8:-91
3	1:-47	2:-45	3:-50	4:-51	5:-66	6:-80	7:-84	8:-87
3	1:-40	2:-36	3:-43	4:-53	5:-66	6:-65	7:-74	8:-85
3	1:-32	2:-32	3:-36	4:-53	5:-73	6:-72	7:-72	8:-77
2	1:-63	2:-56	3:-58	4:-74	5:-80	6:-84	7:-90	8:0
2	1:-63	2:-56	3:-57	4:-70	5:-80	6:-89	7:-89	8:0
1	1:-51	2:-38	3:-52	4:-65	5:-76	6:-76	7:-77	8:0
3	1:-54	2:-86	3:-58	4:-57	5:-76	6:-81	7:-83	8:-83
3	1:-54	2:-40	3:-52	4:-52	5:-71	6:-81	7:-84	8:-84
3	1:-47	2:-52	3:-61	4:-62	5:-72	6:-76	7:-83	8:-89
3	1:-47	2:-52	3:-62	4:-66	5:-72	6:-77	7:-82	8:-89
3	1:-48	2:-51	3:-47	4:-57	5:-71	6:-82	7:-80	8:-84
3	1:-46	2:-46	3:-50	4:-50	5:-66	6:-76	7:-84	8:-87
3	1:-42	2:-42	3:-50	4:-52	5:-66	6:-79	7:-78	8:-84
3	1:-50	2:-52	3:-66	4:-62	5:-71	6:-87	7:-82	8:-89
3	1:-38	2:-32	3:-46	4:-66	5:-63	6:-73	7:-73	8:-85
3	1:-43	2:-45	3:-46	4:-47	5:-65	6:-77	7:-79	8:-87
1	1:-49	2:-40	3:-52	4:-64	5:-75	6:-77	7:-84	8:0
3	1:-55	2:-39	3:-56	4:-52	5:-70	6:-78	7:-87	8:-84
3	1:-47	2:-53	3:-51	4:-50	5:-64	6:-66	7:-83	8:-87
2	1:-49	2:-54	3:-55	4:-69	5:-73	6:-81	7:-77	8:0
2	1:-62	2:-56	3:-58	4:-71	5:-81	6:-88	7:-89	8:0
3	1:-43	2:-46	3:-48	4:-49	5:-64	6:-80	7:-79	8:-87
2	1:-54	2:-50	3:-54	4:-66	5:-89	6:-84	7:-77	8:0
2	1:-51	2:-64	3:-58	4:-67	5:-83	6:-81	7:-86	8:0
3	1:-47	2:-48	3:-50	4:-51	5:-66	6:-80	7:-84	8:-89
3	1:-56	2:-40	3:-53	4:-58	5:-73	6:-84	7:-79	8:-90
2	1:-58	2:-53	3:-63	4:-71	5:-75	6:-89	7:-88	8:-91
1	1:-52	2:-44	3:-59	4:-79	5:-73	6:-73	7:-88	8:0
3	1:-45	2:-45	3:-48	4:-49	5:-65	6:-80	7:-78	8:-87
